City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,Saint-Philippe,RE,67.59,light rain,-21.36,55.77,Le four à pain
138,Quesnel,CA,73.22,overcast clouds,53.0,-122.5,Ramada by Wyndham Quesnel
139,Vila Velha,BR,70.95,clear sky,-20.33,-40.29,Hotel Vitória Palace
140,Manacapuru,BR,74.66,overcast clouds,-3.3,-60.62,Novo Hotel
142,Korla,CN,74.01,clear sky,41.76,86.15,Gulisitan Hotel
143,Suarez,CO,66.36,overcast clouds,2.95,-76.7,Hotel Estrella Dorada
146,Caravelas,BR,69.98,clear sky,-17.71,-39.25,Pousada dos Navegantes
148,Faanui,PF,77.9,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
151,Kamra,PK,70.95,light rain,33.75,73.51,Jangle Hotel
152,Marsh Harbour,BS,82.33,clear sky,26.54,-77.06,Abaco Beach Resort
154,Tigil,RU,77.72,few clouds,57.8,158.67,Tigil'
155,Tabou,CI,74.35,overcast clouds,4.42,-7.35,hotêl doufoulougou
156,Yanam,IN,88.11,overcast clouds,16.73,82.22,The Regency Hotel
158,Baruun-Urt,MN,81.57,clear sky,46.68,113.28,Ахмадын амралт сувилал
159,Bani,DO,74.64,scattered clouds,18.28,-70.33,Hospedaje Henriquez
160,Ouallam,NE,82.35,broken clouds,14.32,2.09,
161,Ponta Do Sol,PT,70.43,clear sky,32.67,-17.1,Hotel do Campo
163,Vaitape,PF,77.88,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
166,Sakakah,SA,87.37,scattered clouds,29.97,40.21,Fakhamat Al Orjoana Apartment
167,Mukhen,RU,69.8,overcast clouds,48.1,136.1,
171,Ribeira Grande,PT,72.55,clear sky,38.52,-28.7,Quinta da Meia Eira
172,Tomatlan,MX,81.14,broken clouds,19.93,-105.25,El Salvial
174,Goundam,ML,84.81,overcast clouds,16.41,-3.67,
176,Gbadolite,CD,69.71,moderate rain,4.28,21.02,Zenic
177,Tual,ID,79.2,broken clouds,-5.67,132.75,Grand Vilia Hotel
179,Banjar,ID,85.06,broken clouds,-8.19,114.97,The Hamsa Resort
181,The Valley,AI,82.26,clear sky,18.22,-63.06,CeBlue Villas & Beach Resort
182,Ola,RU,79.14,broken clouds,59.58,151.28,
183,Kavieng,PG,83.07,light rain,-2.57,150.8,Nusa Island Retreat
184,Kidal,ML,79.0,light rain,18.44,1.41,
185,Afua,BR,74.91,scattered clouds,-0.16,-50.39,Hotel Dias
186,Butaritari,KI,80.92,moderate rain,3.07,172.79,Isles Sunset Lodge
188,Auki,SB,86.16,overcast clouds,-8.77,160.7,Auki Motel
189,Grand-Santi,GF,71.47,broken clouds,4.25,-54.38,Hotel La Villa Couacou
190,Yangambi,CD,68.86,few clouds,0.81,24.43,
191,Alofi,NU,78.69,scattered clouds,-19.06,-169.92,Taloa Heights
193,Lethem,GY,74.64,broken clouds,3.38,-59.8,Savannah Inn
195,Mogok,MM,72.25,overcast clouds,22.92,96.5,MOGOK HILL HOTEL
196,Carauari,BR,75.81,overcast clouds,-4.88,-66.9,Pousada Lobo
197,Rondonopolis,BR,70.56,scattered clouds,-16.47,-54.64,Serras Hotel
202,Kalmunai,LK,83.16,overcast clouds,7.42,81.82,VS Villa
205,Turbat,PK,83.07,overcast clouds,26.0,63.04,Mubashar Quarters
208,Kuala Terengganu,MY,80.55,few clouds,5.33,103.14,Hotel Grand Continental Kuala Terengganu (4 Star)
211,Saint-Pierre,RE,67.68,broken clouds,-21.34,55.48,Alize Plage
212,Quatre Cocos,MU,68.11,light rain,-20.21,57.76,Sunrise Attitude Hotel
214,Dzaoudzi,YT,67.89,clear sky,-12.79,45.27,Le Rocher
215,Guerrero Negro,MX,70.86,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
216,Jacksonville,US,77.99,clear sky,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
217,Salalah,OM,75.29,drizzle,17.02,54.09,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
218,Shaunavon,CA,73.18,clear sky,49.65,-108.42,Bear's Den Lodge
219,Caohai,CN,69.08,overcast clouds,26.87,104.28,Jinhua Hotel
220,Saint-Joseph,RE,66.58,few clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
224,Praia,CV,77.54,scattered clouds,14.92,-23.51,LT Aparthotel
225,Bow Island,CA,78.06,few clouds,49.87,-111.37,Silver Sage Motel
228,Prachuap Khiri Khan,TH,72.93,moderate rain,12.22,99.75,ผกากรองรีสอร์ท
229,Fairbanks,US,69.6,broken clouds,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
230,Kikwit,CD,73.18,clear sky,-5.04,18.82,Hotel De La Vallee
231,Altagracia De Orituco,VE,70.45,scattered clouds,9.86,-66.38,Posada Quinta Mi Refugio
232,Charters Towers,AU,73.13,few clouds,-20.1,146.27,Cattleman's Rest Motor Inn
233,Agadez,NE,83.97,clear sky,19.75,10.25,
240,Qena,EG,83.05,clear sky,26.16,32.72,"Grand hotel ""Quena"""
243,Garowe,SO,72.84,few clouds,8.41,48.48,Curubo Hotel
246,Bambanglipuro,ID,79.99,broken clouds,-7.95,110.28,Puri Brata
247,Poreba,PL,70.83,clear sky,50.49,19.34,Villa Verde
248,Bastia,FR,79.3,clear sky,42.67,9.33,Hotel Santa Maria
249,Le Passage,FR,65.75,clear sky,44.2,0.6,Appart'City Agen Centre - Appart Hôtel
