City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Yellowknife,CA,62.46,-114.35,66.72,45,75,8.05,broken clouds
83,Mataura,NZ,-46.19,168.86,45.48,81,100,3.85,overcast clouds
84,Tiksi,RU,71.69,128.87,41.9,79,16,22.3,few clouds
85,Langenau,DE,48.50,10.12,66.22,94,74,3.71,broken clouds
86,Carutapera,BR,-1.20,-46.02,76.12,88,41,4.59,scattered clouds
87,Lafia,NG,8.48,8.52,71.94,94,99,1.32,overcast clouds
88,Norman Wells,CA,65.28,-126.83,73.44,46,75,6.91,broken clouds
89,Jamestown,US,42.10,-79.24,80.24,61,100,6.91,overcast clouds
90,Tucuma,BR,-0.18,-50.05,75.61,91,23,5.46,few clouds
91,Zacatepec,MX,18.65,-99.20,75.42,76,30,1.1,scattered clouds
92,Yumen,CN,40.28,97.20,68.38,29,0,16.04,clear sky
93,Atar,MR,20.52,-13.05,81.18,60,34,10.25,scattered clouds
94,Tuktoyaktuk,CA,69.45,-133.04,50.0,93,75,9.22,broken clouds
95,Marfino,RU,55.70,37.38,57.45,87,100,4.47,overcast clouds
96,Avarua,CK,-21.21,-159.78,73.45,68,75,16.11,broken clouds
97,Pisco,PE,-13.70,-76.22,60.85,82,100,6.91,overcast clouds
98,Zabol,AF,32.25,67.25,80.33,33,0,18.3,clear sky
99,Port Alfred,ZA,-33.59,26.89,56.17,96,83,4.0,broken clouds
100,San Patricio,US,28.02,-97.52,86.9,78,1,17.78,clear sky
101,Pangody,RU,65.85,74.49,49.86,77,100,10.47,light rain
102,Ancud,CL,-41.87,-73.82,40.23,64,51,11.43,broken clouds
103,Pyay,MM,18.82,95.22,86.7,69,100,0.89,overcast clouds
104,Chinhoyi,ZW,-17.37,30.20,53.24,80,24,5.86,few clouds
105,Cabo San Lucas,MX,22.89,-109.91,89.62,69,6,14.18,clear sky
106,Cherskiy,RU,68.75,161.30,48.31,38,13,18.54,few clouds
107,Lieksa,FI,63.32,30.02,59.41,83,76,4.72,broken clouds
108,Honningsvag,NO,70.98,25.97,58.75,77,100,14.97,overcast clouds
109,Upernavik,GL,72.79,-56.15,48.49,69,100,8.19,overcast clouds
110,Ceres,US,37.59,-120.96,94.95,27,0,14.97,clear sky
111,Port Moresby,PG,-9.44,147.18,85.42,70,75,11.5,broken clouds
112,Arlit,NE,18.74,7.39,89.28,30,85,6.31,overcast clouds
113,Nizhnyaya Poyma,RU,56.16,97.19,72.79,44,40,6.69,scattered clouds
114,Katsuura,JP,35.13,140.30,81.0,77,100,9.57,overcast clouds
115,Thompson,CA,55.74,-97.86,64.56,77,75,5.75,broken clouds
116,Panjab,AF,34.39,67.02,65.26,21,0,3.44,clear sky
117,Iguape,BR,-24.71,-47.56,63.82,93,36,1.07,scattered clouds
118,Romitan,UZ,39.93,64.38,80.55,34,0,11.5,clear sky
119,Mithi,PK,24.73,69.80,85.06,72,70,21.36,broken clouds
120,Bambous Virieux,MU,-20.34,57.76,68.25,77,75,21.85,light rain
121,Severo-Kurilsk,RU,50.68,156.12,52.03,97,98,13.82,light rain
122,Karratha,AU,-20.74,116.85,77.16,35,5,2.1,clear sky
123,Usinsk,RU,65.99,57.53,64.4,66,99,9.46,overcast clouds
124,Saldanha,ZA,-33.01,17.94,39.25,74,0,6.04,clear sky
125,Alihe,CN,50.57,123.72,88.32,43,53,1.25,broken clouds
126,San Jeronimo,PE,-11.95,-75.28,46.08,79,71,2.44,broken clouds
127,Gamba,GA,-2.65,10.00,70.63,91,100,6.29,overcast clouds
128,Airai,TL,-8.93,125.41,70.34,62,56,3.44,broken clouds
129,Tiznit,MA,29.58,-9.50,89.04,20,80,6.31,broken clouds
130,Lufilufi,WS,-13.87,-171.60,85.78,73,17,22.73,few clouds
131,Hasaki,JP,35.73,140.83,91.29,77,90,8.28,overcast clouds
132,Sistranda,NO,63.73,8.83,53.56,96,100,10.63,overcast clouds
133,Lata,PT,40.16,-8.33,59.36,87,0,1.95,clear sky
134,Pevek,RU,69.70,170.31,31.95,93,100,17.4,overcast clouds
135,Cabedelo,BR,-6.98,-34.83,74.07,88,95,10.76,overcast clouds
136,Camocim,BR,-2.90,-40.84,74.97,85,58,6.71,broken clouds
137,Saint-Philippe,RE,-21.36,55.77,67.59,80,46,14.56,light rain
138,Quesnel,CA,53.00,-122.50,73.22,53,86,2.19,overcast clouds
139,Vila Velha,BR,-20.33,-40.29,70.95,85,0,5.75,clear sky
140,Manacapuru,BR,-3.30,-60.62,74.66,90,89,4.63,overcast clouds
141,Victoria,HK,22.29,114.16,93.96,75,11,5.99,few clouds
142,Korla,CN,41.76,86.15,74.01,34,0,5.17,clear sky
143,Suarez,CO,2.95,-76.70,66.36,93,100,3.36,overcast clouds
144,Vardo,NO,70.37,31.11,55.38,94,20,12.66,few clouds
145,Oudtshoorn,ZA,-33.59,22.20,43.16,95,11,1.97,few clouds
146,Caravelas,BR,-17.71,-39.25,69.98,80,0,5.93,clear sky
147,Bonavista,CA,48.65,-53.11,59.47,92,100,21.77,light rain
148,Faanui,PF,-16.48,-151.75,77.9,72,8,13.18,clear sky
149,Saskylakh,RU,71.92,114.08,56.89,49,38,19.1,scattered clouds
150,Vestmannaeyjar,IS,63.44,-20.27,51.37,83,71,12.21,broken clouds
151,Kamra,PK,33.75,73.51,70.95,98,100,3.98,light rain
152,Marsh Harbour,BS,26.54,-77.06,82.33,76,6,12.37,clear sky
153,New Norfolk,AU,-42.78,147.06,49.91,54,0,2.08,clear sky
154,Tigil,RU,57.80,158.67,77.72,50,19,12.41,few clouds
155,Tabou,CI,4.42,-7.35,74.35,70,93,7.83,overcast clouds
156,Yanam,IN,16.73,82.22,88.11,63,92,5.84,overcast clouds
157,Yar-Sale,RU,66.83,70.83,55.44,57,93,14.81,overcast clouds
158,Baruun-Urt,MN,46.68,113.28,81.57,38,0,8.59,clear sky
159,Bani,DO,18.28,-70.33,74.64,81,25,12.15,scattered clouds
160,Ouallam,NE,14.32,2.09,82.35,63,83,11.79,broken clouds
161,Ponta Do Sol,PT,32.67,-17.10,70.43,72,10,7.02,clear sky
162,Mutoko,ZW,-17.40,32.23,55.58,81,77,7.07,broken clouds
